league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Bundesliga,2025,2025-09-27,VfL Wolfsburg,RB Leipzig,0,1,0,0,A
Bundesliga,2025,2025-09-27,FSV Mainz 05,Borussia Dortmund,0,2,0,0,A
Bundesliga,2025,2025-09-27,1. FC Heidenheim,FC Augsburg,2,1,0,2,H
Bundesliga,2025,2025-09-27,FC St. Pauli,Bayer Leverkusen,1,2,1,0,A
Bundesliga,2025,2025-09-27,Borussia Mönchengladbach,Eintracht Frankfurt,4,6,0,4,A
Bundesliga,2025,2025-09-28,SC Freiburg,1899 Hoffenheim,1,1,1,0,D
Bundesliga,2025,2025-09-28,1.FC Köln,VfB Stuttgart,1,2,1,0,A
Bundesliga,2025,2025-09-28,Union Berlin,Hamburger SV,0,0,0,0,D
Bundesliga,2025,2025-10-03,1899 Hoffenheim,1.FC Köln,0,1,0,0,A
Bundesliga,2025,2025-10-04,Werder Bremen,FC St. Pauli,1,0,1,0,H
Bundesliga,2025,2025-10-04,Borussia Dortmund,RB Leipzig,1,1,1,0,D
Bundesliga,2025,2025-10-04,Bayer Leverkusen,Union Berlin,2,0,1,1,H
Bundesliga,2025,2025-10-04,FC Augsburg,VfL Wolfsburg,3,1,1,2,H
Bundesliga,2025,2025-10-04,Eintracht Frankfurt,Bayern München,0,3,0,0,A
Bundesliga,2025,2025-10-05,VfB Stuttgart,1. FC Heidenheim,1,0,0,1,H
Bundesliga,2025,2025-10-05,Hamburger SV,FSV Mainz 05,4,0,2,2,H
Bundesliga,2025,2025-10-05,Borussia Mönchengladbach,SC Freiburg,0,0,0,0,D
Bundesliga,2025,2025-10-17,Union Berlin,Borussia Mönchengladbach,3,1,2,1,H
Bundesliga,2025,2025-10-18,VfL Wolfsburg,VfB Stuttgart,0,3,0,0,A
Bundesliga,2025,2025-10-18,FSV Mainz 05,Bayer Leverkusen,3,4,1,2,A
Bundesliga,2025,2025-10-18,RB Leipzig,Hamburger SV,2,1,1,1,H
Bundesliga,2025,2025-10-18,1. FC Heidenheim,Werder Bremen,2,2,0,2,D
Bundesliga,2025,2025-10-18,1.FC Köln,FC Augsburg,1,1,0,1,D
Bundesliga,2025,2025-10-18,Bayern München,Borussia Dortmund,2,1,1,1,H
Bundesliga,2025,2025-10-19,SC Freiburg,Eintracht Frankfurt,2,2,1,1,D
Bundesliga,2025,2025-10-19,FC St. Pauli,1899 Hoffenheim,0,3,0,0,A
Bundesliga,2025,2025-10-24,Werder Bremen,Union Berlin,1,0,0,1,H
Bundesliga,2025,2025-10-25,Borussia Mönchengladbach,Bayern München,0,3,0,0,A
Bundesliga,2025,2025-10-25,1899 Hoffenheim,1. FC Heidenheim,3,1,2,1,H
Bundesliga,2025,2025-10-25,Eintracht Frankfurt,FC St. Pauli,2,0,1,1,H
Bundesliga,2025,2025-10-25,FC Augsburg,RB Leipzig,0,6,0,0,A
Bundesliga,2025,2025-10-25,Hamburger SV,VfL Wolfsburg,0,1,0,0,A
Bundesliga,2025,2025-10-25,Borussia Dortmund,1.FC Köln,1,0,0,1,H
Bundesliga,2025,2025-10-26,Bayer Leverkusen,SC Freiburg,2,0,1,1,H
Bundesliga,2025,2025-10-26,VfB Stuttgart,FSV Mainz 05,2,1,1,1,H
Bundesliga,2025,2025-10-31,FC Augsburg,Borussia Dortmund,0,1,0,0,A
Bundesliga,2025,2025-11-01,FSV Mainz 05,Werder Bremen,1,1,1,0,D
Bundesliga,2025,2025-11-01,RB Leipzig,VfB Stuttgart,3,1,1,2,H
Bundesliga,2025,2025-11-01,1. FC Heidenheim,Eintracht Frankfurt,1,1,1,0,D
Bundesliga,2025,2025-11-01,Union Berlin,SC Freiburg,0,0,0,0,D
Bundesliga,2025,2025-11-01,FC St. Pauli,Borussia Mönchengladbach,0,4,0,0,A
Bundesliga,2025,2025-11-01,Bayern München,Bayer Leverkusen,3,0,3,0,H
Bundesliga,2025,2025-11-02,1.FC Köln,Hamburger SV,4,1,1,3,H
Bundesliga,2025,2025-11-02,VfL Wolfsburg,1899 Hoffenheim,2,3,1,1,A
Bundesliga,2025,2025-11-07,Werder Bremen,VfL Wolfsburg,2,1,0,2,H
Bundesliga,2025,2025-11-08,1899 Hoffenheim,RB Leipzig,3,1,2,1,H
Bundesliga,2025,2025-11-08,Bayer Leverkusen,1. FC Heidenheim,6,0,5,1,H
Bundesliga,2025,2025-11-08,Hamburger SV,Borussia Dortmund,1,1,0,1,D
Bundesliga,2025,2025-11-08,Union Berlin,Bayern München,2,2,1,1,D
Bundesliga,2025,2025-11-08,Borussia Mönchengladbach,1.FC Köln,3,1,1,2,H
Bundesliga,2025,2025-11-09,SC Freiburg,FC St. Pauli,2,1,1,1,H
Bundesliga,2025,2025-11-09,VfB Stuttgart,FC Augsburg,3,2,2,1,H
Bundesliga,2025,2025-11-09,Eintracht Frankfurt,FSV Mainz 05,1,0,0,1,H
